Coremeasure,Identifiant,Nom,Points,Origine,Categorie,Labels,DesactivationDesc,Desactivation,Indicateurs_WIP,Calcul du score lié à l'indicateur,Tags,Adaptation - Flags,Adaptation - Descriptifs,Adaptation - calcul,Description,Exemples non exhaustifs,Preuves,Périmètre de l'évaluation et renvoi vers d'autres fiches actions,Contexte et enjeux,Ressources,Réglementation,Retours d'expérience
,3.4.3.3,Réduire les impacts sociaux de la collecte des déchets,"1,5","Eci_2.4.2.3 (0,25)
 Eci_2.4.2.4 (0,25)",Mise en œuvre,te_eci,,"Si reponse(dechets_1, NON) alors VRAI
 sinon FAUX",,,,,,,"La collecte des déchets génère des impacts environnementaux, mais aussi et sociaux (pénibilité du travail, nuisances olfactives et sonores, etc.). 
 La collectivité met en œuvre les actions qui permettent d’atteindre un service équitable à l’usager et qui en réduisent les nuisances. 
 Elle optimise sa collecte en mettant en œuvre les solutions qui permettent de réduire ces impacts.","- Adapter les conditions de travail pour les agents pour réduire la pénibilité et garantir la sécurité.
 - Eviter les dépôts en pied de bac ou de PAV quand ceux-ci sont trop plein (adaptation des fréquences ou des capacités, mise en œuvre de systèmes indiquant un dépassement du seuil de remplissage des contenants, etc.).
 - Accessibilité des points de collecte pour les personnes à mobilité réduite (en situation de handicap, âgées).
 - Adapter le positionnement des points de collecte et les horaires de collectes pour éviter les nuisances sonores (collecte du verre par exemple) .",,,,,,
,3.4.3.4,Optimiser la logistique et le transport des déchets,"1,5","Eci_2.4.3 (1)
 CAE_1.2.3.2.19 (0,5)
 Eci_4.1.3.1 (0,3)
 Eci_2.4.2.3 (0,25)
 Eci_2.4.2.4 (0,25)",Mise en œuvre,te_eci,Cette sous-mesure reste activée aussi en cas de compétence traitement des déchets seule,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,"La collectivité réduit l’impact environnemental de la logistique et le transport des déchets.
 Pour cela elle agit sur la demande de transports en réduisant les besoins de collecte de déchets. Elle met en place le report des transports routiers vers des modes alternatifs lorsque c’est possible. Pour les transports routiers non évitables, elle met en place une gestion optimisée des tournées (mutualisation des flux) et agit sur la flotte de véhicules et leur utilisation. 
 Cette sous-mesure s’applique aussi aux transports en aval de la collecte des déchets.","- Mutualiser le transport au sein d’une même filière en réalisant du co-chargement permettant de maximiser le taux de remplissage 
 - Etudier et mettre en place les possibilités de transfert par voie ferroviaire ou fluviale des déchets entre les sites de regroupement et les sites de traitement 
 - Utiliser des logiciels d’aide à la décision pour montrer l’intérêt du rail/route (Combi Flux, Appel d’air, etc.).
 - Dans les contextes adaptés, privilégier les collectes en mobilité alternative (collectes à vélo, à cheval …). 
 - Utiliser des Technologies de l’information et de la communication pour optimiser les tournées de collecte (ex : GPS)
 - Utiliser la connaissance du remplissage des contenants ou celui des camions (technologies de caractérisation embarquées). 
 - Former les agents à l’éco-conduite. Ce levier représente un enjeu particulièrement important pour réduire les émissions liées à la collecte en porte-à-porte (maillon le plus émetteur de CO2 de la chaîne de transport) 
 - Faire évoluer la flotte vers des véhicules utilisant des énergies alternatives (bennes à ordure au biogaz, électrique, etc.).",,,,,,
,3.4.3.5,Prospecter les possibilités de traitement de certains déchets générés en DOM-COM/ régions transfrontalières par d’autres pays voisins,"1,5",Nouvelle action,,te_eci,Cette sous mesure n'est activée que pour les collectivités DOM qui ont la compétence collecte des déchets,"si reponse(dechets_1, NON) alors VRAI
 sinon si reponse(dechets_1, OUI) et identite(localisation,DOM) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
Coremeasure,3.4.4,Optimiser la valorisation matière dont organique des déchets ménagers et assimilés,"6,0",,,te_eci,"#Questionnement de personnalisation : 
 - La collectivité a-t-elle la compétence ""traitement des déchets ménagers et assimilés"" (Banatic C2085)?
 #Réduction de potentiel
 #1 Si la collectivité ne dispose pas de la compétence traitement des déchets :
 o Réduction du potentiel à 0 (sous-mesure désactivée)","Si reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,"La collectivité valorise ses déchets de façon à réduire au maximum les impacts environnementaux de leur gestion et d’en retirer au maximum des ressources en substitution de ressources vierges à vocation matière en priorité.
 Elle concrétise les solutions issues des études d'optimisation du traitement.
 Elle met en place les conditions (financières et organisationnelles) pour permettre la concrétisation de ces solutions. Elle mène et accompagne l'évolution des moyens de traitement en s’assurant que l’ensemble des flux du territoire puissent être traités avec le respect de la hiérarchie des modes de gestion des déchets.
 Elle pilote la mise en œuvre du plan d'actions pour s'assurer de l'atteinte des objectifs.",,,,,"Tri des déchets
 - Centres de tri : https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/tri-pretraitement/dossier/centres-tri-dechets/centres-tri-dechets
 - Guide de prévention pour la conception de centre de tri : http://www.inrs.fr/media.html?refINRS=ED%206098
 - Bilan des études territoriales préalables pour le tri des Embalalges ménagers et papiers : https://librairie.ademe.fr/dechets-economie-circulaire/2051-bilan-des-etudes-territoriales-prealables-pour-le-tri-des-emballages-menagers-et-papiers.html
 - Traitement mécano-biologique : https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/tri-pretraitement/traitement-mecano-biologique 
 Prétraitement
 - Prétraitement des déchets : https://expertises.ademe.fr/economie-circulaire/dechets/quoi-parle-t/prevention-gestion-dechets/pretraitement-souvent-indispensable-a-valorisation-dechets
 Installations de traitement
 - Enquête sur les installations de traitement des déchets ménagers et assimilés : https://librairie.ademe.fr/dechets-economie-circulaire/5646-le-traitement-des-dechets-menagers-et-assimiles-itom-2020.html
 Traitement mécano-biologique des ordures ménagères
 - Avis de l’ADEME : https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/tri-pretraitement/traitement-mecano-biologique
 - Fiche technique : TMB (pdf) : https://www.lagazettedescommunes.com/telechargements/TMB-Ademe-fiche-tech-03-14.pdf
 Valorisation matière
 - Recyclage : https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-matiere/dossier/recyclage/chaine-recyclage-produit-produit-passant-dechet
 - Organiser la concertation territoriale pour les déchets organiques - ADEME : https://economie-circulaire.ademe.fr/concertation-territoriale-dechets-organiques 
 Stockage
 - Conditions de l'élimination des déchets non dangereux : https://www.ecologie.gouv.fr/conditions-lelimination-des-dechets-non-dangereux",,
,3.4.4.1,Améliorer le tri des déchets pour orienter le maximum de matière vers le recyclage,"2,0",Cae_1.2.3.2.17,Mise en œuvre,te_eci,,,,,,,,,"La collectivité mène des actions pour améliorer le tri chez l’usager, dans les déchèteries et les centres de tri/regroupements, dans les collectes séparées pour identifier des déchets valorisables. Les leviers mobilisés peuvent être financiers, organisationnels ou autres.
 Elle s’informe sur le taux de performance des installations de tri sollicitées et contribue à la formalisation et à la mise en place de plans d’actions pour les améliorer.","- Caractériser les entrants et les refus de tri.
 - Réaliser des études sociologiques ou de changement de comportement.
 - Mettre en place de dispositifs permettant de mieux cerner les gestes de tri (caméras et analyse d’images par l’IA…).
 - Etudier de faisabilité d’optimisation des process de tri, nouvelles installations… 
 - Planifier l’augmentation de la part du recyclage dans le traitement des déchets et le développement de nouvelles filières de valorisation matière.
 - Mettre en place des flux liés à la REP PMCB et en particulier les flux de plastique menuiseries vitrées et laines minérales.",,,,,,
,3.4.4.2,Orienter les biodéchets vers une installation de valorisation des déchets organiques (compostage ou méthanisation) permettant le retour au sol,"2,0","Cae_1.2.3.2.18 (0,5)",Mise en œuvre,te_eci,,,,,,,,,"La collectivité oriente les déchets organiques dans une voie de valorisation permettant le retour au sol de qualité de la matière organique (unité de compostage) ou en produisant du biogaz (méthaniseur). 
 Elle priorise les voies de traitement en accord avec la hiérarchie des modes de gestion des déchets. 
 Elle connait le réseau d’installations potentiellement mobilisables pour son territoire et contribue le cas échéant à son développement. 
 Elle veille à la répartition géographique équilibrée des infrastructures.
 
 En cas de territoire équipé à 100% de solution de gestion de proximité des biodéchets, la sous-mesure peut être passée en « non concerné » en justifiant.","- Orienter les biodéchets (y compris les déchets alimentaires collectés séparément) vers ces installations,
 - Caractériser les biodéchets selon leur qualité et leur propreté, afin de déterminer le traitement le plus adapté (présence ou non de déchets coquilliers, déchets emballés, sacs de collecte compostables ou kraft,…)
 - Mettre en œuvre des actions d’atténuation des nuisances visuelles et olfactives, par exemple de végétalisation autour des installations de valorisation des déchets 
 - Etudier l’opportunité d’améliorer le réseau existant, notamment en ce qui concerne les aménagements et procédés mis en œuvre, 
 - Etudier l’opportunité de développer le réseau existant, en cohérence avec les objectifs de prévention et des possibilités de mutualisation avec les territoires voisins",,,,,,
,3.4.4.3,Mettre en œuvre des actions pour réduire l’impact environnemental et social des installations de tri et de traitement des déchets,"2,0","Eci_2.3.2.1 (1)
 Eci_2.3.2.2 (1)
 Eci_2.3.2.3 (1)
 Eci_2.3.2.4 (1)
 Eci_2.4.4.3 (1)
 Eci_2.4.4.4 (1)",Mise en œuvre,te_eci,,,,,,,,,"La collectivité met en œuvre le plan d’actions issu des études d’optimisation pour diminuer les impacts environnementaux et sociaux du traitement des déchets. 
 Ce plan d'actions est en cohérence avec les mesures de prévention et d'amélioration des systèmes de collecte et de valorisation de déchets. Il donne des objectifs pertinents pour le territoire, ainsi que les outils de pilotage de la progression. 
 Ce plan d'actions peut être itératif. Une fois terminé sur la période donnée, la collectivité peut construire un nouveau plan avec de nouveaux objectifs. Le plan d'action doit prendre en compte l'objectif ZAN notamment en ce qui concerne la création de nouvelles installations de traitement.","- Optimiser les installations : GES, dioxines, métaux lourds, particules, émissions olfactives, sonores, etc.
 - Biodéchets :
 o Compostage collectif : information des usagers, formation des maitres composteurs, etc.
 o Méthanisation : acceptabilité des sites, bonne conduite de procédés afin d'éviter les fuites, gestion intégrée de l’épandage de digestat (gestion de l'apport azoté).
 - Améliorer la prévention des risques sanitaires (suivi du taux de Troubles Musculo-Squelettiques (TMS) chez les techniciens des sites de traitement des déchets, formation des salariés, équipements adaptés, suivi médical professionnel, etc.)",,,,,,
Coremeasure,3.4.5,Optimiser la valorisation énergétique des déchets ménagers et assimilés,"4,0",,Mise en œuvre,"te_cae,te_eci","#Questionnement de personnalisation : 
 - La collectivité a-t-elle la compétence ""traitement des déchets ménagers et assimilés""(Banatic C2085)?
 #Réduction de potentiel
 #1 Si la collectivité ne dispose pas de la compétence traitement des déchets :
 o Réduction du potentiel à 0 (sous-mesure désactivée)
 La collectivité met manuellement en ""non-concerné"" les installations inexistantes dans la filière traitement du territoire.","Si reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,"La collectivité recherche l’optimisation de la valorisation énergétique de chacune de ses installations de traitement des déchets. 
 Elle valorise en priorité l’énergie produite pour sa propre consommation autant que possible.
 Elle favorise l’installation d’activités économiques utilisatrice de l’énergie produite à proximité des installations le cas échéant.",,,,,"Incinération : 
 - https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique
 - http://www.amorce.asso.fr/fr/espace-adherents/publications/energie/valorisation-energetique/dt62-gestion-des-vides-de-four-unites-de-traitement-thermique/
 - https://librairie.ademe.fr/dechets-economie-circulaire/1715-etude-des-techniques-d-optimisation-des-unites-d-incineration-des-dechets-menagers-et-assimiles.html
 Combustibles solides de récupération : 
 - https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique/dossier/combustibles-solides-recuperation/preparation-combustibles-solides-recuperation
 - https://librairie.ademe.fr/sols-pollues/1260-utilisation-des-csr-combustibles-solides-de-recuperation-et-des-rdf-refuse-derived-fuels-en-europe.html
 Pyrolyse et gazéfication : 
 - https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique/dossier/pyrolyse-gazeification/principes-pyrolyse-gazeification
 Valorisation du biogaz et gaz de synthèse : 
 - https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique/valorisations-energetiques-biogaz-gaz-synthese 
 - Association Technique Energie Environnement pour promouvoir la production et la valorisation des biogaz issus des installations de stockage des déchets non dangereux et des unités de méthanisation : http://atee.fr/biogaz 
 - Méthanisation : quelles retombées pour les territoires ? : https://librairie.ademe.fr/energies-renouvelables-reseaux-et-stockage/6118-methanisation-quelles-retombees-pour-les-territoires-.html",,
,3.4.5.1,Optimiser la valorisation de l’énergie des Unité de Valorisation Energétique (UVE),"0,8","Cae_3.3.5.2.1 (1)
 Cae_3.3.5.2.2 (1)",Mise en œuvre,"te_cae,te_eci","En cas de compétence traitement des déchets mais d'absence de l'installation concernée dans la filière traitement du territoire, la sous-mesure peut être passée manuellement en non-concernée",,,,,,,,"Si l’installation est inexistante dans la filière traitement du territoire, indiquer le statut non concerné. 
 Les Unités de Valorisation Energétique (UVE), anciennement les Unités d'Incinération d'Ordures Ménagères (UIOM), valorisent de la chaleur et/ou de l’électricité (utilisation complète, en interne et/ou vente à l'extérieur), un suivi du % réel de valorisation énergétique par rapport aux tonnages de déchets entrants est réalisé. 
 - Améliorer la performance globale de l’installation.
 - Prévoir les débouchés pour l’énergie à l’échelle du territoire de(s) EPCI, surtout pour la chaleur.",,,,,,,
,3.4.5.2,Valoriser la chaleur ou l'électricité de l’unité de combustion de Combustibles Solides de Récupération (CSR),"0,8",Cae_3.3.5.2.3,Mise en œuvre,"te_cae,te_eci","En cas de compétence traitement des déchets mais d'absence de l'installation concernée dans la filière traitement du territoire, la sous-mesure peut être passée manuellement en non-concernée",,,,,,,,"Si l’installation est inexistante dans la filière traitement du territoire, indiquer le statut non concerné. 
 Si la collectivité dispose d’une chaufferie CSR, celle-ci utilise des CSR produits selon les exigences de l’arrêté du 23 mai 2016 modifié, pour produire de la chaleur (eau chaude, vapeur). Elle peut être équipée d’une cogénération pour la production d’électricité.
 Les éléments nécessitant une attention particulière sont :
 - Puissance, rendement de la chaudière et durée annuelle de fonctionnement
 - Quantité d’électricité injectée dans le réseau
 - Quantité et caractéristiques de vapeur produite
 - Origine des CSR utilisés (autorisation ICPE des sites)
 - Quantité (t/an) et PCI des CSR consommés",,,,,,,
,3.4.5.3,Optimiser le captage et valoriser le biogaz issu des installations de stockage des déchets non dangereux,"0,8","Cae_3.3.5.2.4 (1)
 Cae_3.3.5.2.5 (1)",Mise en œuvre,"te_cae,te_eci","En cas de compétence traitement des déchets mais d'absence de l'installation concernée dans la filière traitement du territoire, la sous-mesure peut être passée manuellement en non-concernée",,,,,,,,"Si l’installation est inexistante dans la filière traitement du territoire, indiquer le statut non concerné. 
 L’installation doit optimiser la production et le captage du biogaz et tendre vers la diminution des émissions diffuses en phase d’exploitation.
 Elle veille à la valorisation énergétique effective du biogaz capté.",,,,,,,
,3.4.5.4,Optimiser le dispositif de méthanisation des biodéchets,"0,8",Cae_3.3.5.2.6,Mise en œuvre,"te_cae,te_eci","En cas de compétence traitement des déchets mais d'absence de l'installation concernée dans la filière traitement du territoire, la sous-mesure peut être passée manuellement en non-concernée",,,,,,,,"Si l’installation est inexistante dans la filière traitement du territoire, indiquer le statut non concerné. 
 La collectivité cherche à valoriser les biodéchets en accord avec la hiérarchie des modes de traitement des déchets. Pour les biodéchets qui ne peuvent être valorisés qu’énergétiquement :
 - Caractériser les biodéchets selon leur qualité et leur propreté pour en proposer une valorisation énergétique économiquement viable par la méthanisation, les agro-carburants ou la combustion. 
 - Identifier les sites de production et les points de collecte partagé. Déconditionner, trier en vue d’hygiéniser, transestérifier ou brûler selon les caractéristiques des biodéchets présents. 
 - Pour les actions liées à la méthanisation, favoriser l’injection du biométhane dans le réseau ou dans les véhicules, raccordement à un réseau de chaleur, favoriser l’installation d’utilisateurs d’énergie à proximité des sites de traitements des déchets producteurs d’énergie, etc.",,,,,,,
,3.4.5.5,Trouver des débouchés pour l'ensemble de l'énergie produite,"0,8",Cae_3.3.5.2.9,Mise en œuvre,"te_cae,te_eci","En cas de compétence traitement des déchets mais d'absence de l'installation concernée dans la filière traitement du territoire, la sous-mesure peut être passée manuellement en non-concernée",,,,,,,,"Premièrement, la collectivité valorise l’énergie issue des installations sous sa compétence pour réduire ses propres coûts : réseau de chaleur, productions alimentaires pour la restauration collective, utilisation de biogaz ou biocarburant pour ses véhicules, etc.
 Deuxièmement, la collectivité favorise l’installation d’activités économiques utilisatrices d’énergie à proximité des lieux de production.","- Proposer un chèque énergie ou tarif bonifié aux entreprises locales dans l’usage de l’énergie produite localement (subvention de la Garantie d’Origine biométhane, électricité renouvelable, etc.)
 - Récupération de chaleur sur les eaux usées issues des installations de traitement des déchets (l’eau des stations d’épuration est traitée dans la mesure « Optimiser la gestion des systèmes d’assainissement et des eaux pluviales »)",,,,,,
,3.4.6,"Suivre et atteindre les objectifs de prévention, d’optimisation de la collecte et de valorisation des déchets","8,0",,Effets,te_eci,"#Questionnement de personnalisation : 
 - La collectivité a-t-elle la compétence collecte des déchets ménagers et assimilés (Banatic C2080) ?
 - La collectivité a-t-elle la compétence traitement des déchets ménagers et assimilés (Banatic C2085)?
 #Réduction de potentiel
 #1 Si la collectivité ne dispose ni de la compétence traitement ni de la compétence collecte :
 o Réduction du potentiel à 0 (sous-mesure désactivée)
 #2 Dans le cas où la collectivité n'a pas la compétence traitement :
 o Les sous-mesures « Mettre en place le suivi de toutes les installations de traitement sous maîtrise d'ouvrage de la collectivité », « Atteindre un rendement des Unités de Valorisation Energétique élevé » et « Atteindre une valorisation énergétique du biogaz des Installations de Stockage des Déchets Non Dangereux élevée » passent en « non-concernée »
 o Le potentiel de points est de 82.5 % par rapport au potentiel d’une collectivité disposant de la compétence.",,"cae_6.a,cae_6.ab,cae_6.b,te_11,Eci_7.b,te_12,cae_32.b,cae_34",,,,,,"La collectivité produit le rapport annuel du service public de prévention et de gestion des déchets ménagers et assimilés (SPPGD) qui permet un bon suivi en matière d'indicateurs techniques et économiques. Les coûts et les performances du service de gestion des déchets sont précisés.
 La collectivité communique sur ses données d'impacts environnementaux et sociaux en lien avec la gestion des déchets.",,,,,"- Déchets chiffres-clés L’essentiel - Edition 2024, ADEME : https://librairie.ademe.fr/economie-circulaire-et-dechets/7638-dechets-chiffres-cles-l-essentiel-edition-2024-9791029723186.html
 - Territoires pionniers de la prévention des déchets - Édition 2020, ADEME : https://librairie.ademe.fr/societe-et-politiques-publiques/3628-territoires-pionniers-de-la-prevention-des-dechets.html",,
,3.4.6.1,"Suivre l’avancement du plan d’actions d'optimisation de la collecte et du traitement, dresser le bilan des actions, ajuster le plan d’actions selon les résultats","1,0","Eci_2.1.3 (0,5)",Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,"La collectivité assure le suivi de la démarche, dresse des bilans des actions et ajuste le programme d'actions selon les résultats.
 Elle met à jour ses plans d’actions pour atteindre un haut niveau de prévention et d’optimisation de la collecte et du traitement des déchets.",,,,,,,
,3.4.6.2,Mettre en place le suivi de toutes les installations de traitement sous maîtrise d'ouvrage de la collectivité,"1,0",Eci_2.3.3.1,Effets,te_eci,Cette sous-mesure est désactivée en cas d'absence de la compétence traitement des déchets,"Si reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,"En cas d’absence d’installation de traitement sous maîtrise d’ouvrage de la collectivité, passer cette sous-mesure en « non concerné » et justifier. 
 La collectivité suit toutes les installations de traitement sous sa responsabilité et s’assure de leur efficacité en matière de valorisation. Les installations de traitement visées sont : centre de tri, de prétraitement, de recyclage, centre de compostage, méthaniseur, usine d'incinération, installation de stockage, etc.
 Dans cette optique, elle dialogue avec les équipes en charge de ces installations et met en œuvre des actions pour améliorer leur performance.","- S’assurer que les contrôles sont effectués pour assurer l’optimisation du processus de traitement, ainsi que la qualité des flux entrants et sortants.
 - Alerter les producteurs de déchets et les acteurs qui interviennent en amont en cas de non-qualité des flux entrants, et s’assurer que les actions correctives sont effectuées si les autres contrôles révèlent des écarts.
 - Quantifier et caractériser les refus de tri (ou les mâchefers) dans le but de les réduire, notamment en rehaussant les exigences de qualité du flux entrant si nécessaire, et, éventuellement veiller à éviter la sur-qualité.
 - S’assurer que les refus de tri (ou les mâchefers) sont valorisés selon la hiérarchie de traitement.
 - Maintenir une veille pour identifier et intégrer les meilleures technologies disponibles (MTD) de valorisation des déchets (source : https://eippcb.jrc.ec.europa.eu/reference) :
 o En tenant compte de la qualité des flux entrants,
 o En s’assurant que les flux et volumes sortants sont cohérents avec la disponibilité et la capacité des repreneurs,
 o En tenant compte des études de prospection (évolution future des flux).
 - Mettre en place d’un système de surveillance, d’un suivi d’indicateurs sur la qualité de l’environnement autour des installations de gestion des déchets.",,,,,,
,3.4.6.3,Suivre la production de déchets ménagers et assimilés par rapport à la moyenne nationale de déchets ménagers et assimilés (kg/hab),"1,2",,Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.3.a,Production annuelle de déchets ménagers et assimilés (DMA) par habitant - Avec déblais et gravats,"1,2","Cae_1.2.3.3.1 (1)
 Cae_1.2.3.3.2 (1)",Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.3.b,Production annuelle de déchets ménagers et assimilés (DMA) par habitant - Sans déblais et gravats,"1,2",,,te_eci,Cette sous-mesure n'est activée que si la collectivité ne peut pas suivre la production de DMA avec Déblais et gravat,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.4,Suivre la production d’Ordures Ménagères Résiduelles par rapport à la moyenne nationale (kg/hab./an),"1,2",Cae_1.2.3.3.3,Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.5,Quantité annuelle orientée vers le réemploi et récupérée en déchèterie,"0,8",Nouvelle action,Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.6,Privilégier la valorisation matière des Déchets Ménagers et Assimilés,"0,8","Eci_2.3.3.2 (1)
 Eci_2.3.3.3 (1)
 Eci_2.3.3.4 (1)
 Eci_2.3.3.5 (1)
 Eci_2.3.3.6 (1)
 Cae_1.2.3.3.4 (1)
 Cae_1.2.3.3.5 (1)",Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.7,Suivre la quantité en kg/hab.an de biodéchets restants dans les ordures ménagères résiduelles (kg/hab./an),"0,8",Cae_3.3.5.3.4,Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.8,Atteindre un rendement des Unités de Valorisation Energétique élevé,"0,2",Cae_3.3.5.3.1,Effets,te_eci,Cette sous-mesure est désactivée en cas d'absence de la compétence traitement des déchets,"Si reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.9,Atteindre une valorisation énergétique du biogaz des Installations de Stockage des Déchets Non Dangereux élevée,"0,2",Cae_3.3.5.3.2,Effets,te_eci,Cette sous-mesure est désactivée en cas d'absence de la compétence traitement des déchets,"Si reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,3.4.6.10,"Communiquer sur les résultats obtenus pour valoriser les progrès, liés à la prévention, à la collecte, à la valorisation et à l’élimination","0,8","Eci_2.4.5.2 (1)
 Eci_2.4.5.3 (1)
 Eci_2.4.5.4 (1)
 Eci_2.4.5.1 (1)",Effets,te_eci,,"Si reponse(dechets_1, NON) et reponse(dechets_2, NON) alors VRAI
 sinon FAUX",,,,,,,La collectivité déploie la communication associée à sa compétence collecte et traitement des déchets pour valoriser ses progrès. Elle communique également sur les données d'impacts environnementaux et sociaux de ses installations.,"- Communiquer sur les évolutions des gisements, les pistes d’amélioration identifiées et celles mises en œuvre, la prévention des comportements interdits et à impact négatif, par exemple :
 o sur les risques de brûlage à l'air libre de déchets verts et les alternatives 
 o sur les dépôts sauvages
 - Publier des résultats des contrôles et mesures, règlementaires ou non. Publier les données relatives au suivi de l’impact des installations de traitement
 - Partager et analyser les résultats avec les parties prenantes (commission de suivi des sites, comité représentatif des usagers du service… ) 
 - Publier systématiquement ls résultats des contrôles et mesures, règlementaires ou non.",,,,,,
,4,Mobilités,82,,,,,,,,,,,,,,,,,,,
,4.1,Organisation des mobilités sur le territoire et développement d'une offre de transport intégrée et diversifiée,28,,,,,,,,,,,,,,,,,,,
