identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
1.2.2.1,Acter la volonté politique de mettre en place une démarche de planification des déplacements,,,,,,10,bases,,,"reponse(AOM_1, OUI) et identite(population, plus_de_100000)
","Pour une collectivité AOM, de plus de 100 000 habitants, la 1.2.2.1 est désactivée.",,,"si reponse(AOM_1, OUI) et identite(population, plus_de_100000) alors 0.0
","Pour une collectivité AOM, de plus de 100 000 habitants, le potentiel passe de 10% à 0%.",,,,
1.2.2.1.1,Prendre la compétence d’organisation de la mobilité,Ne s'applique qu'aux EPCI,,,,,,,,,"identite(type, commune)
",,,,,,,,,
1.2.2.1.2,"Décider de réaliser la démarche de planification des déplacements (PDM, PDMS)","La décision doit s'appuyer sur une délibération de l'organe décisionnel de la collectivité.

La délibération peut aussi mentionner l'éventuelle allocation de budget pour une mission externe (diagnostic, élaboration complète de la planification…)",,,,,,,,,,,,,,,,,,
1.2.2.1.3,Disposer d’une planification antérieure ou s'approprier les enjeux et proposition lors de l’élaboration des documents structurants par l’intercommunalité,"Ne s'applique qu'aux communes, qui doivent s'approprier les enjeux et propositions de l'intercommunalité et désigner un interlocuteur/référent",,,,,,,,,"identite(type, EPCI)
",,,,,,,,,
1.2.2.2,Établir un diagnostic mobilité dans une approche concertée,La réalisation d’enquête-ménage est évaluée dans la mesure 4.1.1.,,,,,15,mise en œuvre,,,,,,,,,,,,
1.2.2.2.1,Quantifier les flux de mobilité grâce à des comptages et/ou une modélisation et identifier les zones à enjeux importants,Zones à enjeux importants en matière de mobilité : zones génératrices de déplacements,,,,,,,,,,,,,,,,,,
1.2.2.2.2,Traduire de façon spatialisée les orientations,"Si possible la traduction spatiale (carte) est réalisée dans une approche environnementale globale (ex : SIG permettant de croiser/mutualiser les données déplacement, air, bruit)",,,,,,,,,,,,,,,,,,
1.2.2.2.3,Évaluer les GES et polluants atmosphériques liés aux déplacements sur le périmètre du plan de mobilité,,,,,,,,,,,,,,,,,,,
1.2.2.2.4,Associer les acteurs du territoire dans une procédure concertée lors de l’élaboration ou révision du plan de mobilité,,,,,,,,,,,,,,,,,,,
1.2.2.2.5,Vérifier la compatibilité avec le PCAET ou prendre en compte les PCAET s’il y en a plusieurs dans le périmètre du plan de mobilité,,,,,,,,,,,,,,,,,,,
1.2.2.2.6,Assurer une coordination stratégique et opérationnelle entre l’AOM locale et la région pour définir la politique de mobilité,,,,,,,,,,,,,,,,,,,
1.2.2.2.7,Soumettre le plan pour avis aux AOM limitrophes afin d’améliorer la collaboration au-delà du ressort territorial,,,,,,,,,,,,,,,,,,,
1.2.2.2.8,"Mettre en cohérence la politique de mobilité avec celle de l’urbanisme local, déclinée par le plan local d’urbanisme (PLU)",,,,,,,,,,,,,,,,,,,
1.2.2.2.9,"Bien identifier et intégrer a minima les enjeux de mobilité dans les documents de planification et programmes existants (PLU, PLH, PDMS …)",Moins de formalisme est exigé pour les collectivités rurales,,,,,,,,,,,,,,,,,,
1.2.2.3,Planifier des actions pour limiter l’usage de la voiture individuelle,"La gestion des flux de marchandises sur le territoire est évaluée dans la mesure 4.2.3.

La planification comprend les différentes actions suivantes",,,,,30,mise en œuvre,,,,,,,,,,,,
1.2.2.3.1,Expliciter les mesures pour diminuer à la source les besoins de déplacements motorisés,En lien avec la politique d'urbanisme.,,,,,,,,,,,,,,,,,,
1.2.2.3.2,Préciser le raccordement aux transports en commun des zones génératrices de trafic mal desservies,,,,,,,,,,,,,,,,,,,
1.2.2.3.3,Planifier de façon raisonnée le stationnement,,,,,,,,,,,,,,,,,,,
1.2.2.3.4,"Préciser les mesures pour développer le covoiturage et l'autopartage (parkings, places réservées...), le déploiement de services vélos et la mobilité électrique",,,,,,,,,,,,,,,,,,,
1.2.2.3.5,Expliciter les mesures pour ralentir ou diminuer le trafic motorisé,"Création de zones adaptées à une limitation 30 km/h ou des zones à circulation restreinte, etc. en visant un apaisement du trafic et la limitation des ""à-coups"" et la congestion émettrice de polluants atmosphériques",,,,,,,,,,,,,,,,,,
1.2.2.4,Prioriser le développement des modes alternatifs de déplacement à la voiture dans la planification,"Les sujets traités sont adaptés aux enjeux et au contexte local : en milieu rural ou périurbain notamment, et en l’absence de possibilités d’action directe sur les transports en commun, la planification est centrée sur les mobilités partagées , et sur l’optimisation de solutions existantes ou adaptées au milieu rural (bus scolaires, navette à la demande, covoiturage, schéma directeur touristique, flotte d’auto-partage…).

Un travail collaboratif peut être mené avec les pôles urbains polarisant la majorité des déplacements et donc de mener une réflexion conjointe à une échelle plus large afin d'avoir davantage de leviers pour promouvoir les mobilités partagées et l'intermodalité (notamment en entrée du pôle urbain).

La mise en place de mesures d'animation pour accompagner l'évolution des comportements de mobilité est prévue dans l’action 4.1.1.",,,,,15,mise en œuvre,,,,,,,,,,,,
1.2.2.4.1,Planifier le réseau piétonnier,"Doit intégrer l'accessibilité, endroits dangereux, lacunes, etc.",,,,,,,,,,,,,,,,,,
1.2.2.4.2,Planifier les chemins menant à l'école et la gestion de l’espace autour des écoles,Expliciter les actions pour permettre un meilleur partage des modes de déplacements.,,,,,,,,,,,,,,,,,,
1.2.2.4.3,Planifier le réseau cyclable,Existence d'un schéma d'aménagements cyclables ou d’un plan vélo,,,,,,,,,,,,,,,,,,
1.2.2.4.4,Planifier la continuité des itinéraires cyclables et piétons,,,,,,,,,,,,,,,,,,,
1.2.2.4.5,"Planifier les transports publics (lignes, arrêts, etc.)",,,,,,,,,,,,,,,,,,,
1.2.2.4.6,Porter attention à l’intermodalité dans la planification,,,,,,,,,,,,,,,,,,,
1.2.2.4.7,Favoriser le développement du covoiturage et de l'autopartage,,,,,,,,,,,,,,,,,,,
1.2.2.4.8,Organiser et optimiser les usages des véhicules électriques,,,,,,,,,,,,,,,,,,,
1.2.2.4.9,Envisager l’hippomobilité pour certains usages spécifiques,"Hippomobilité = Déplacements à cheval (exemples : transport d’enfants, collecte des déchets dans les corbeilles du centre, sur les plages, transport de public, débardage, etc…)",,,,,,,,,,,,,,,,,,
1.2.2.5,Suivre les actions mises en œuvre et atteindre des résultats significatifs,,,,,,30,effets,,,,,,,"si reponse(AOM_1, OUI) et identite(population, plus_de_100000) alors 0.4/0.3
","Pour une collectivité AOM, de plus de 100 000 habitants, la 1.2.2.5 est notée sur 40 % (au lieu de 30 %).",,,,
1.2.2.5.1,Intégrer des mesures organisationnelles et de suivi,"Présence d'un tableau de bord indiquant le calendrier, le budget et les acteurs prévus pour chaque action, les gains estimés en termes de GES et de polluants atmosphériques",,,,,,,,,,,,,,,,,,
1.2.2.5.2,Évaluer le document au moins tous les 5 ans,,,,,,,,,,,,,,,,,,,
1.2.2.5.3,Créer un observatoire des déplacements,,,,,,,,,,,,,,,,,,,
1.2.2.5.4,Diminuer ou stabiliser les déplacements en voiture particulière,,,,,,,,,,,,,,,,,,"si val(cae_5) > limite(cae_5) alors 0
sinon si val(cae_5) < cible(cae_5) alors 1
sinon ((limite(cae_5) - val(cae_5)) / (limite(cae_5) - cible(cae_5)))",
1.2.2.5.5,Obtenir un impact bénéfique de la programmation sur la diminution de la pollution atmosphérique,"Estimé à partir d'outils comme ""Motiv'Air"" pour l'utilisation des modes actifs",,,,,,,,,,,,,,,,,,
1.2.3,Définir et mettre en oeuvre la stratégie de prévention et de gestion des déchets,"La politique locale de prévention et de gestion des déchets est définie, mise en œuvre, suivie et évaluée.

Elle intègre la réalisation d’un programme local de prévention des déchets ménagers et assimilés (réemploi et réutilisation, la gestion de proximité des biodéchets, la lutte contre le gaspillage alimentaire, la réduction à la source …), la collecte et le traitement des déchets ménagers et assimilés (filière de collecte séparée et de recyclages des emballages et des papiers, collecte séparée et valorisation organique des biodéchets, autres filières de collecte et recyclage notamment via les déchèteries, …), dans le cadre du service public.

La tarification incitative du service aux usagers (par la taxe ou la redevance) doit favoriser la réduction des déchets et les filières de recyclage, et constitue un outil d’optimisation du service déchets.","**Contexte et enjeux**

En 2018, la production de déchets en France a représenté 342 millions de tonnes soit 4,9 tonnes par habitant (source : ADEME).

Réduire les déchets à la source permet de réduire en amont les émissions liées à la production des biens et les émissions liées au transport et au traitement des déchets générés en fin de vie des produits.

La prévention est la première action à mettre en œuvre selon la hiérarchie européenne de la gestion des déchets. D’après l’ADEME, le potentiel de réduction des ordures ménagères est d’environ 150 kg par an et par habitant. Par ailleurs, le recyclage permet de réutiliser des ressources issues des déchets, et la généralisation du tri à la source des biodéchets vise à limiter les émissions de gaz à effet de serre des installations de stockage des déchets. La politique française des déchets s’intègre désormais dans le cadre plus large de la transition vers l’économie circulaire et l’utilisation efficace des ressources.

**Réglementation**

-   Article L. 541-15-1 du code de l’environnement : l’élaboration des programmes locaux de prévention des déchets ménagers et assimilés (PLPDMA) est obligatoire depuis le 1er janvier 2012
    
-   Depuis la loi NOTRe (loi n°2015-991 du 7 août 2015), les Régions ont en charge l’élaboration et le suivi du plan régional de prévention et de gestion des déchets (PRPGD), qui remplace les plans préexistants régionaux pour les déchets dangereux et départementaux pour les déchets non dangereux et du BTP.
    
-   Avec cette même loi, la compétence de collecte et de traitement des déchets ménagers et assimilés devient une compétence obligatoire des intercommunalités (qui doivent atteindre une taille minimum (15 000 habitants), sauf cas particuliers)
    
-   La loi TECV d’août 2015 fixe de nombreux objectifs chiffrés concernant la réduction et la valorisation des déchets (art.70), objectifs renforcés dans le cadre de la loi anti-gaspillage pour une économie circulaire de février 2020 :
    
    -   Réduction de 10 % des quantités de déchets ménagers et assimilés par habitant en 2020 par rapport à 2010 ; objectif revu par la loi anti-gaspillage – article 3 : réduire de 15 % les quantités de déchets ménagers et assimilés produits par habitant en 2030 par rapport à 2010 ;
        
    -   Augmentation de la quantité de déchets faisant l’objet d’une valorisation sous forme de matière, notamment organique (valoriser 65% en 2025 des déchets non dangereux non inertes) ;
        
    -   Réduction de 50% des quantités de déchets non dangereux non inertes admis en installation de stockage en 2025 par rapport à 2010 ;
        
    -   Généralisation du tri à la source des biodéchets pour tous les producteurs de déchets d’ici 2025 ;
        
    -   Réduire le gaspillage alimentaire de 50 % d’ici 2025, par rapport à 2015, dans la distribution alimentaire et la restauration collective, et de 50 % d’ici 2030, par rapport à 2015, dans la consommation, la production, la transformation et la restauration commerciale. (loi anti-gaspillage – article 11) ;
        
    -   Viser la fin de la mise sur le marché d’emballages en plastique à usage unique d’ici à 2040 (loi anti-gaspillage – article 7) ;
        
    -   Progression de la généralisation d’une tarification incitative en matière de déchets pour les collectivités territoriales (15 millions d’habitants couverts en 2020 et 25 millions en 2025)
        
    -   Réduire de 5 % les quantités de déchets d'activités économiques par unité́ de valeur produite, notamment du secteur du bâtiment et des travaux publics, en 2030 par rapport à 2010 (loi anti- gaspillage – article 3) ;
        
    -   Atteindre une part des emballages réemployés mis sur le marché de 5% en 2023 et 10% en 2027 (loi anti-gaspillage – article 9) ;
        
-   Une modulation de la TGAP est possible lorsque le transfert des déchets entre le site de regroupement et le site de traitement final est effectué par voie ferroviaire ou fluviale, sous réserve que la desserte routière terminale, lorsqu'elle est nécessaire, n'excède pas 20 % du kilométrage de l'itinéraire global (l’article 266 nonies Code des douanes)","**CA de l’Albigeois**

Preuve d’un engagement volontaire et ambitieux, le Grand Albigeois a été le premier EPCI de France à avoir obtenu le 2e niveau du label économie circulaire de l’Ademe.

La communauté d’agglomération de l’Albigeois a adopté son premier PLPDMA en 2018, suivi de l’adoption d’un 2ème programme d'économie circulaire en 2022.

[https://www.grand-albigeois.fr/projet/programme-deconomie-circulaire/](https://www.grand-albigeois.fr/projet/programme-deconomie-circulaire/)

**CC Cœur du Var**

Le territoire est lauréat de l’appel à projets « Zéro déchet, zéro gaspillage » depuis 2014.

En cinq ans, les ordures ménagères destinées à l’enfouissement ont diminué de 110kg par habitant.

Près de 30 actions ont été imaginées par la Communauté de Communes. Parmi elles, le déploiement du label ""commerce engagé"", qui soutient les enseignes qui abandonnent les sacs à usage unique, proposent des denrées peu – voire pas – emballées, privilégient les productions locales et les circuits courts.

[https://www.coeurduvar.com/grands-dossiers/zero-dechet#:~:text=Cœur%20du%20Var%20est%20lauréat,envahissent%20nos%20espaces%20de%20vie.](https://www.coeurduvar.com/grands-dossiers/zero-dechet#:~:text=Cœur%20du%20Var%20est%20lauréat,envahissent%20nos%20espaces%20de%20vie.)","**Documents et web**

-   Base de données SINOE - outil d'analyse pour optimiser la politique déchets des collectivités territoriales : [http://www.sinoe.org](http://www.sinoe.org )
    
-   Plateforme OPTIGEDE - plate-forme d'échanges et de diffusion d'outils et de retours d'expérience sur la prévention et la gestion des déchets : [http://optigede.ademe.fr](http://optigede.ademe.fr)
    
-   Guide méthodologique « Élaborer et conduire avec succès un PLPDMA », ADEME, 2018 : [https://librairie.ademe.fr/dechets-economie-circulaire/2263-elaborer-et-conduire-avec-succes-un-plpdma.html](https://librairie.ademe.fr/dechets-economie-circulaire/2263-elaborer-et-conduire-avec-succes-un-plpdma.html)
    

**Formations**

-   Formations ADEME : « Concevoir et animer un plan d'actions territorial sur l'Économie Circulaire » ; « Améliorer sa connaissance sur les fondamentaux de l'Économie Circulaire » etc.

Pour se former consulter [https://formations.ademe.fr/](https://formations.ademe.fr/ )",10,,,"<ul>
<li>
<p>Si la collectivité possède la compétence collecte, traitement des déchets et plan de prévention des déchets, pas de réduction de potentiel</p>
</li>
<li>
<p>Si la collectivité ne possède que partiellement les compétences ci-dessous, réduction de potentiel de 25 %</p>
</li>
<li>
<p>Collectivité ayant transféré l’ensemble des compétences ci-dessus à un EPCI/syndicat : 2 points</p>
</li>
</ul>
<p>(Dans tous les cas, l’évaluation porte uniquement sur les items couvrant le champ de compétences de la collectivité)</p>
<p>Périmètre de</p>
","Cette action est axée sur la politique de prévention et la gestion des déchets à l’échelle du territoire.

-   Ne pas évaluer la mise en oeuvre d’action d’optimisation du potentiel énergétique issu du traitement des déchets résiduels (incinération et stockage) et des biodéchets, évaluée dans l’action 3.3.5.
    
-   Ne pas évaluer les actions exemplaires concernant les déchets mises en place par la collectivité dans le cadre de la commande publique éco-responsable et via les relais d’opinion (éco-manifestation des associations, etc.), évaluées dans les actions 5.2.2 et 6.5.2.
    

Liens avec d’autres actions :

-   action 1.1.1 : Définir la vision, les objectifs et la stratégie climat air énergie
    
-   action 1.1.2 : Réaliser le diagnostic climat air énergie du territoire
    
-   action 6.3.1 : Favoriser les activités économiques durables et valoriser les ressources locales
    
-   action 6.4.1 : Soutenir une agriculture et une alimentation plus durable
    
-   action 6.5.2 : Inciter les citoyens et les relais d'opinion à une consommation responsable, limiter l’emprise de la publicité
    
-   action 3.3.5 : Optimiser le potentiel énergétique issu de la gestion des déchets
    

Labellisation unique ville-EPCI : Des indicateurs distincts peuvent être suivis ou gardés en mémoire par les deux collectivités mais la notation est basée sur les indicateurs de l’ensemble du territoire intercommunal.",,,,,"si reponse(dechets_1, OUI) et reponse(dechets_2, OUI) et reponse(dechets_3, OUI) alors 1.0
sinon si reponse(dechets_1, NON) et reponse(dechets_2, NON) et reponse(dechets_3, NON) alors 2/10
sinon si reponse(dechets_1, NON) ou reponse(dechets_2, NON) ou reponse(dechets_3, NON) alors 0.75
","Pour une collectivité ne possédant que partiellement les compétences collecte, traitement des déchets et plan de prévention des déchets, le score de la 1.2.3 est réduit de 25 %.

Pour une collectivité n'ayant aucune des compétences collecte, traitement des déchets et plan de prévention des déchets, le score de la 1.2.3 est réduit à 2 points.","dechets_1, dechets_2, dechets_3","cae_1.h, cae_2.j, cae_6.a, cae_6.b, cae_6.c, cae_6.ca, cae_6.cb, cae_6.cc, cae_6.d, cae_7, cae_7.aa, cae_7.ab, cae_7.b",,
1.2.3.1,Définir une stratégie de prévention et de gestion des déchets et sensibiliser les acteurs à la prévention et au tri des déchets,,,,,,20,bases,,,,,,,,,,,,
1.2.3.1.1,Communiquer régulièrement vers la population et les acteurs socio-économiques pour inciter à la réduction des déchets,,,,,,,,,,,,,,,,,,,
1.2.3.1.2,Pratiquer et rendre visible la collecte séparée des emballages et papiers dans tous les lieux publics,"Mener des actions d'exemplarité dans les lieux publics (exemples : médiathèques, parcs et jardins…)",,,,,,,,,,,,,,,,,,
1.2.3.1.3,Disposer d'un programme local de prévention,,,,,,,,,,,,,,,,,,,
1.2.3.1.4,"Établir un règlement de collecte, suivre les coûts du service, établir un rapport annuel sur les coûts et performances du service",Action applicable pour les collectivités ayant la compétence collecte,,,,,,,,,"reponse(dechets_1, NON)
",,,,,,,,,
1.2.3.1.5,"Suivre les coûts du service, établir un rapport annuel sur les coûts et performances du service",Action applicable pour les collectivités ayant la compétence traitement,,,,,,,,,"reponse(dechets_2, NON)
",,,,,,,,,
1.2.3.1.6,"Prévenir (sensibilisation des agents, des services, etc.) et gérer les déchets conforme à la réglementation, réemployer et recycler les déchets occasionnés par les construction/déconstruction des bâtiments, respecter l’obligation de tri 5 flux pour les services (inter)communaux.","Action applicable pour les collectivités n'ayant ni la compétence collecte, ni la compétence traitement (commune ou communauté de commune)",,,,,,,,,,,,,,,,,,
1.2.3.2,Mettre en œuvre une politique locale de prévention et de gestion des déchets ambitieuse et tournée vers l’économie circulaire,,,,,,50,mise en œuvre,,,,,,,,,,,,
1.2.3.2.1,"Engager des actions allant au-delà des obligations réglementaires et mobiliser les acteurs pour réduire, réutiliser, réparer, recycler, valoriser les ressources/les déchets","A partir d’un diagnostic sur le territoire (flux, coûts, acteurs, actions de prévention déjà engagées, identification des gisements de déchets, définition des potentiels de réduction, mobilisation et coopération des acteurs, etc.), complété d’études de faisabilité, engager des actions allant au-delà des obligations réglementaires et mobilisant les acteurs (habitants, acteurs publics, acteurs économiques, associations, etc.) pour réduire, réutiliser, réparer, recycler, valoriser les ressources/les déchets en veillant à limiter les gaz à effet de serre et la pollution atmosphérique.",,,,,,,,,,,,,,,,,,
1.2.3.2.10,Animer les entreprises du territoire (compétence collecte),,,,,,,,,,,,,,,,,,,
1.2.3.2.11,"Etudier la fréquence, les itinéraires de collecte et la motorisation des véhicules dédiés à la collecte des déchets (compétence collecte)","Etudier la fréquence, les itinéraires de collecte et la motorisation des véhicules dédiés à la collecte des déchets (privilégier l’électrification en cas de collectivité produisant de l’électricité renouvelable et le bioGNV pour les véhicules lourds) pour limiter les consommations d'énergie et les émissions de GES, et de polluants atmosphériques.",,,,,,,,,,,,,,,,,,
1.2.3.2.12,Mettre en place une tarification incitative à la prévention et au recyclage (compétence traitement),,,,,,,,,,,,,,,,,,,
1.2.3.2.13,Insérer des clauses de réduction annuelle des quantités incinérées et enfouies dans les contrats de Délégation de Service Public (DSP) (compétence traitement),,,,,,,,,,,,,,,,,,,
1.2.3.2.14,"Augmenter le recyclage / les nouvelles filières de valorisation matière (hors TMB) (plâtre, encombrants, meubles/bois) (compétence traitement)",,,,,,,,,,,,,,,,,,,
1.2.3.2.15,Etendre les consignes de tri à tous les plastiques (compétence traitement),,,,,,,,,,,,,,,,,,,
1.2.3.2.16,Privilégier les débouchés locaux pour minimiser le transport et permettre un développement économique local (compétence traitement),,,,,,,,,,,,,,,,,,,
1.2.3.2.17,Tri des macro-déchets en amont des incinérateurs et décharges pour retirer ceux qui peuvent être recyclés (compétence traitement),,,,,,,,,,,,,,,,,,,
1.2.3.2.18,Disposer d'une installation de valorisation des déchets organiques (compostage ou méthanisation) (compétence traitement),Nota : les performances énergétiques de l'installation sont évaluée dans l'action 3.3.5,,,,,,,,,,,,,,,,,,
1.2.3.2.19,Etudier et mettre en place les transferts possibles par voie ferroviaire ou fluviale des déchets entre les sites de regroupement et les sites de traitement  (compétence traitement),"Dans le cas du transport fluvial, veiller aux émissions de polluants atmosphériques des bateaux utilisés, moins réglementés que le transport routier.",,,,,,,,,,,,,,,,,,
1.2.3.2.2,Engager une démarche de prévention ambitieuse,"Objectif de production de déchets inférieure à 100 kg/hab/an par exemple ou objectif de division par deux des quantités d’ordures ménagères résiduelles sur 5 à 10 ans, etc.",,,,,,,,,,,,,,,,,,
1.2.3.2.20,Mettre en place des actions de prévention et de réduction des déchets au sein des services (hors compétences collecte et traitement),,,,,,,,,,,,,,,,,,,
1.2.3.2.21,Animer les entreprises du territoire,"Mise en œuvre par les acteurs économiques d’une dynamique d’écologie industrielle et territoriale et/ou de gestion collective des déchets, etc.",,,,,,,,,,,,,,,,,,
1.2.3.2.22,Prendre en compte l'objectif national de recycler 70% des déchets du BTP et mettre en œuvre des actions pour y contribuer,"A minima pour les chantiers publics (taux de recyclage supérieur ou égal à 70 %) et de manière plus large, participation de la collectivité à la coordination/mise en place de la filière privée de collecte et de valorisation des déchets du BTP (identification de sites propices, facturation d'un service de reprise de déchets dans les déchetteries publiques selon les capacités d'accueil, contrat entre collectivités et distributeurs...).",,,,,,,,,,,,,,,,,,
1.2.3.2.3,Travailler en étroite collaboration avec ses partenaires et participer à la construction des objectifs de la stratégie et du programme d’actions en cas de transfert de compétences (partiel ou total),,,,,,,,,,,,,,,,,,,
1.2.3.2.4,Mettre en place la tarification incitative (compétence collecte),,,,,,,,,,,,,,,,,,,
1.2.3.2.5,Favoriser le réemploi et la réutilisation (compétence collecte),"Par exemple par des initiatives du type « bourses d’échanges », élaboration et/ou diffusion d’un annuaire des structures de réemploi et des artisans réparateurs",,,,,,,,,,,,,,,,,,
1.2.3.2.6,"Développer les zones de réemploi en déchèterie et/ou accompagner la création d’une recyclerie attenante à une déchèterie, etc. (compétence collecte)",,,,,,,,,,,,,,,,,,,
1.2.3.2.7,Optimiser le service de collecte (compétence collecte),"Extension de la collecte séparée des emballages à tous les plastiques, généralisation du tri à la source des biodéchets, etc.",,,,,,,,,,,,,,,,,,
1.2.3.2.8,Mettre en œuvre des filière réemploi ou de nouvelles filières de recyclage en déchèterie (compétence collecte),,,,,,,,,,,,,,,,,,,
1.2.3.2.9,Définir la limite du service public et articuler public/offre privée (compétence collecte),"Définir la limite du service public, articulation service public/offre privée (compétence collecte) qui permet une répartition pertinente des rôles facilitant, pour les producteurs de déchets non ménagers (entreprises, administrations, services communaux) le respect de leurs nouvelles obligations (tri 5 flux, reprise des matériaux de construction - déchèteries professionnelle, gros producteurs de biodéchets).",,,,,,,,,,,,,,,,,,
1.2.3.3,Suivre annuellement et atteindre les objectifs,,,,,,30,effets,,,,,,,,,,,,
1.2.3.3.1,"Produire moins de déchets ménagers et assimilés que la moyenne nationale, voire moins que les territoires pionniers en France",Produire moins de déchets ménagers et assimilés que la moyenne nationale (580 kg/hab.an) et se comparer par rapport aux territoires pionniers en France (480 kg/hab.an) (DMA avec déblais et gravats),,,,1,,,,,,,,,,,,,"si val(cae_6.a) > limite(cae_6.a) alors 0
sinon si val(cae_6.a) < cible(cae_6.a) alors 1
sinon ((limite(cae_6.a) - val(cae_6.a)) / (limite(cae_6.a) - cible(cae_6.a)))",
1.2.3.3.2,Diminuer la production des déchets ménagers et assimilés,"A comparer avec l'objectif national de réduction de 10 % entre 2010 et 2020, soit -1 % par an.",,,,"0,5",,,,,,,,,,,,,,
1.2.3.3.3,"Produire moins d’ordures ménagères résiduelles que la moyenne nationale, voire moins que les territoires pionniers en France",Produire moins d’ordures ménagères résiduelles que la moyenne nationale (254 kg/hab.an) et se comparer par rapport aux territoires pionniers en France (114 kg d’OMR).,,,,"0,5",,,,,,,,,,,,,"si val(cae_6.b) > limite(cae_6.b) alors 0
sinon si val(cae_6.b) < cible(cae_6.b) alors 1
sinon ((limite(cae_6.b) - val(cae_6.b)) / (limite(cae_6.b) - cible(cae_6.b)))",
1.2.3.3.4,"Atteindre un % de valorisation matière et organique des déchets ménagers et assimilés supérieur à la moyenne nationale, voire supérieur au meilleur score Territoire Engagé Climat-Air-Énergie","Moyenne nationale de 45% (en 2017) et une cible de 65%

Score lié à l'indicateur n°7",,,,"0,5",,,,,,,,,,,,,"si val(cae_7) < limite(cae_7) alors 0
sinon si val(cae_7) > cible(cae_7) alors 1
sinon (val(cae_7) - limite(cae_7)) / (cible(cae_7) - limite(cae_7))",
1.2.3.3.5,Progresser dans le taux de recyclage des déchets du BTP,"A minima ceux produits par les chantiers de la collectivité, mais dans l'idéal, ceux produits par toute la filière BTP locale",,,,"0,5",,,,,,,,,,,,,,
