identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore
2.2.2.2,Disposer d'un plan d'actions validé par les élus,,,,,,50,,,,,,,,,,,,
2.2.3,Mettre en œuvre le plan d'actions et communiquer,"La collectivité met en œuvre son plan d'actions d'optimisation de la collectivité (sous-action 2). Elle pilote la mise en œuvre du plan d'actions pour s'assurer de l'atteinte des objectifs.

Elle déploie la communication associée pour valoriser ses progrès.

Une fois le plan d'actions réalisé, la collectivité peut recommencer une nouvelle boucle d'optimisation.",,"Actions d'optimisation du service de collecte réalisées

Adaptation et optimisation du réseau de déchèteries

Solutions alternatives mises en œuvre

Communication associée à chaque action définie et déployée

Réduire la fréquence de collecte et les distances parcourues dans le cadre de l'engagement environnemental. La mesure est effectué par flux. (par exemple ISO50001).",,,50,mise en œuvre,,,,,,,,,,,
2.2.3.1,Disposer de bac pucés et contrôler l'accès aux déchèteries,,,,,,20,,,,,,,,,,,,
2.2.3.2,Optimiser le réseau de déchèteries,,,,,,20,,,,,,,,,,,,
2.2.3.3,Développer l'accueil de nouvelles filières en déchèteries (liées aux REP ou non),,,,,,20,,,,,,,,,,,,
2.2.3.4,Généraliser l'accès de tous à un ou des dispositifs de tri à la source des biodéchets,,,,,,20,,,,,,,,,,,,
2.2.3.5,Étendre les consignes de tri,,,,,,20,,,,,,,,,,,,
2.3,Améliorer la valorisation des déchets (dont organiques),La collectivité privilégie le respect de la hiérarchie des modes de traitement et tend vers des taux de recyclage et de valorisation de plus en plus élevés.,"**Conformité réglementaire**

[Directive Déchets 2008/98/CE](https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000019818802&categorieLien=id)

[Feuille de Route Economie Circulaire (FREC)](https://www.ecologique-solidaire.gouv.fr/feuille-route-economie-circulaire-frec) avec les objectifs sur le recyclage et la valorisation [Politique en vigueur](https://www.ecologie.gouv.fr/leconomie-circulaire)

**Contexte : Tri des déchets**

[Centres de tri](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/tri-pretraitement/dossier/centres-tri-dechets/centres-tri-dechets)

[Traitement mécano-biologique](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/tri-pretraitement/traitement-mecano-biologique)

**Contexte : Prétraitement**

[Prétraitement des déchets](https://expertises.ademe.fr/economie-circulaire/dechets/quoi-parle-t/prevention-gestion-dechets/pretraitement-souvent-indispensable-a-valorisation-dechets)

**Contexte : Valorisation matière**

[Recyclage](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-matiere/dossier/recyclage/chaine-recyclage-produit-produit-passant-dechet)

**Contexte : Valorisation énergétique**

[Incinération](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique)

[Combustibles solides de récupération](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique/dossier/combustibles-solides-recuperation/preparation-combustibles-solides-recuperation)

[Pyrolyse et gazéfication](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique/dossier/pyrolyse-gazeification/principes-pyrolyse-gazeification)

[Valorisation du biogas et gaz de synthèse](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/valorisation-energetique/valorisations-energetiques-biogaz-gaz-synthese)

**Contexte : Stockage**

[Conditions de l'élimination des déchets non dangereux](https://www.ecologie.gouv.fr/conditions-lelimination-des-dechets-non-dangereux)

**Données chiffrées ADEME**

[Déchets en chiffres](https://librairie.ademe.fr/dechets-economie-circulaire/5417-dechets-chiffres-cles-l-essentiel-2021-9791029719622.html#/44-type_de_produit-format_electronique ) ou [infographie sur les déchets](https://librairie.ademe.fr/dechets-economie-circulaire/5457-chiffres-cles-dechets-2021-l-infographie.html)

[Le rapport du service public de prévention et de gestion des déchets ménagers et assimilés](https://librairie.ademe.fr/dechets-economie-circulaire/2330-rapport-du-service-public-de-prevention-et-de-gestion-des-dechets-menagers-et-assimiles.html)","**BTP**

[Etude de faisabilité préalable à l’investissement dans une installation de regroupement, tri, valorisation des déchets du BTP](https://librairie.ademe.fr/urbanisme-et-batiment/692-etude-de-faisabilite-site-identifie-prealable-a-l-investissement-dans-une-installation-de-regroupement-tri-valorisation-des-dechets-du-btp.html) [Chantiers exemplaires](https://www.optigede.ademe.fr/dechets-batiment-chantiers-exemplaires) [Filières de valorisation des déchets du bâtiment](https://www.optigede.ademe.fr/dechets-batiment-exemples-entreprises ) [Gestion de déchets de chantier : Mairie de Volonne](https://www.optigede.ademe.fr/fiche/gestion-des-dechets-de-chantier-chantier-propre) [Recyclage en boucle fermée de menuiseries en fin de vie issues des chantiers : exemple de GTM](https://www.optigede.ademe.fr/fiche/recyclage-des-dechets-du-btp-recyclage-en-boucle-fermee-des-menuiseries-en-fin-de-vie-issues)

**Incinération**

[Installation de préleveurs de fumées sur CVE : exemple du Smictom Secteur Haguenau-Saverne](https://www.optigede.ademe.fr/fiche/installation-de-preleveurs-de-fumees-sur-cve) [Évaluation des actions d'optimisation et de rationalisation des équipements et des services sur 20 départements du Bade-Wurtemberg](https://www.optigede.ademe.fr/fiche/evaluation-des-actions-doptimisation-et-de-rationalisation-des-equipements-et-des-services-sur) [Étude sur l'évolution des équipements de traitement des OMr : exemple du SYMEED](https://optigede.ademe.fr/pdf/14143)","**Installations de traitement**

[Le traitement des Déchets Ménagers et Assimilés en 2020](https://librairie.ademe.fr/dechets-economie-circulaire/5646-le-traitement-des-dechets-menagers-et-assimiles-itom-2020.html)

**Tri des déchets**

[Site d’information du Ministère](https://www.ecologique-solidaire.gouv.fr/tri-des-dechets) [Accompagnement de la reconversion des centres de tri](https://librairie.ademe.fr/dechets-economie-circulaire/1903-accompagnement-de-la-reconversion-des-centres-de-tri.html) [Guide pour la conception d'un centre de tri de déchets recyclables secs et ménagers et assimilés issus des collectes séparées (INRS)](http://www.inrs.fr/media.html?refINRS=ED%206098) [Bilan des études territoriales préalables pour le tri des emballages ménagers et papiers](https://librairie.ademe.fr/dechets-economie-circulaire/2051-bilan-des-etudes-territoriales-prealables-pour-le-tri-des-emballages-menagers-et-papiers.html)

**Valorisation énergétique**

[Valorisation énergétique](https://www.optigede.ademe.fr/incineration) 

[Gestion des vides de four des unités de traitement thermique (enquête)](http://www.amorce.asso.fr/fr/espace-adherents/publications/energie/valorisation-energetique/dt62-gestion-des-vides-de-four-unites-de-traitement-thermique/)
[Optimisation des unités d’incinération des déchets ménagers et assimilés (étude)](https://librairie.ademe.fr/dechets-economie-circulaire/1715-etude-des-techniques-d-optimisation-des-unites-d-incineration-des-dechets-menagers-et-assimiles.html) 
[Équipement de mesure de dioxines en semi-continu (étude)](https://librairie.ademe.fr/air-et-bruit/3266-equipements-de-mesure-de-dioxines-en-semi-continu.html) 
[État de l'art de la production et de l'utilisation de combustibles solides de récupération](https://librairie.ademe.fr/sols-pollues/1260-utilisation-des-csr-combustibles-solides-de-recuperation-et-des-rdf-refuse-derived-fuels-en-europe.html) 
[Impacts environnementaux de scénarios de valorisation énergétique des déchets des activités économiques](https://librairie.ademe.fr/dechets-economie-circulaire/461-impacts-environnementaux-de-scenarios-de-valorisation-energetique-des-dechets-des-activites-economiques.html)

**Méthanisation**

[Rubrique consacrée à la méthanisation](https://www.optigede.ademe.fr/methanisation) [Méthanisation : quelles retombées pour les territoires ?](https://librairie.ademe.fr/energies-renouvelables-reseaux-et-stockage/6118-methanisation-quelles-retombees-pour-les-territoires-.html)

**Traitement mécano-biologique des ordures ménagères**

[Avis de l’ADEME](https://expertises.ademe.fr/economie-circulaire/dechets/passer-a-laction/tri-pretraitement/traitement-mecano-biologique)  
[Fiche technique : TMB](https://www.lagazettedescommunes.com/telechargements/TMB-Ademe-fiche-tech-03-14.pdf) (pdf)

**Stockage**

[Lixiviat](https://www.optigede.ademe.fr/stockage-lixiviats) 
[Biogaz](https://www.optigede.ademe.fr/stockage-biogaz) 

[Stabilité des déchets](https://www.optigede.ademe.fr/stockage-stabilite) 

[Acceptabilité des sites et aspects méthodologiques](https://www.optigede.ademe.fr/stockage-acceptabilite-sociologie)

**Valorisation**

[Filières REP et débouchés](https://filieres-rep.ademe.fr/)

**Recyclage**

[Fiche sur la composition matière de différents produits usuels](https://librairie.ademe.fr/dechets-economie-circulaire/1034-fiches-sur-la-composition-matiere-de-differents-produits-usuels.html) (étude)",20,,,,,"reponse(dechets_2, NON) 
","Pour les collectivités n'ayant pas la compétence ""traitement des déchets"", le score de l'action 2.3. est réduit à 0 et les statuts sont ""non concerné"".",,,,,dechets_2,"eci_8, eci_7",
2.3.0,Respecter la règlementation en matière de traitement pour la valorisation des déchets,"Les installations et équipements sont conformes à la réglementation (tous flux et tous modes de traitement).

En cas de non-conformité, la collectivité doit justifier d'un plan d'actions correctives et de l'absence de contentieux",,"La collectivité respecte la hiérarchie des modes de traitement des déchets au titre de la directive 2008/98/CE et de l’article L.541-1 du Code de l’Environnement.

Les usines d'incinération des ordures ménagères (UIOM) doivent respecter le seuil de performance légal.",,,0,bases,,,,,,,,,,,
2.3.1,Connaitre les flux,"En amont de l’optimisation de la valorisation des déchets sur son territoire, la collectivité doit :

-   Identifier les principaux flux de déchets du territoire et leur méthode de traitement actuelle.
    
-   Identifier les flux insuffisamment valorisés au regard de la hiérarchie de traitement et les causes de cette insuffisance (absence de moyen de traitement, moyen de traitement saturé, absence d’exutoire adapté, coût trop élevé des autres traitements, …)
    
-   Réaliser des études de faisabilité technico-économiques pour des solutions visant à améliorer la valorisation de flux sélectionnés en tenant compte des problématiques associées aux détournements de flux (sous-alimentation des installations de traitement, reconversion des installations, etc.)",,"Pour les déchets organiques, s’inscrire dans la démarche ConcerTO (programme de concertation territorial autour de la matière organique)

Une étude peut être basée sur les travaux internes déjà disponibles ou réalisée sur mesure en interne ou par un sous-traitant.

L'étude d'optimisation peut faire état du taux d'utilisation des installations actuelles et des pistes pour l'optimiser.

L'étude peut mener vers la mise en place de nouvelle(s) filière(s).",,,,bases,,,,,,,,,,,
2.3.1.1,Connaitre les flux de déchets,,,,,,40,,,,,,,,,,,,
2.3.1.2,Disposer d'un état des lieux de l'utilisation des filières de traitement existantes,,,,,,20,,,,,,,,,,,,
2.3.1.3,Etudier l'optimisation des filières de traitement envisageables,,,,,,40,,,,,,,,,,,,
2.3.2,Concrétiser les solutions issues des études d'optimisation,"La collectivité concrétise les solutions issues des études d'optimisation. Elle met en place les conditions (financières et organisationnelles) pour favoriser l’émergence de ces solutions.

Elle mène et accompagne l'évolution des moyens de traitement.",,"Mettre en place des nouvelles filières de traitement des déchets notamment dans le contexte de développement des REPs.

Planifier la réduction des capacités de traitement ou dimensionner les infrastructures de traitement en cohérence avec des objectifs de prévention de déchets.

Mettre en oeuvre la mutualisation des infrastructes de traitement si pertinent.",,,,mise en œuvre,,,,,,,,,,,
2.3.2.1,Concrétiser au moins une solution et avoir concrétisé moins d'un tiers des solutions retenues dans l’étude,,,,,,25,,,,,,,,,,,,
2.3.2.2,Concrétiser entre un tiers et deux tiers des solutions,,,,,,25,,,,,,,,,,,,
2.3.2.3,Concrétiser plus de deux tiers des solutions,,,,,,25,,,,,,,,,,,,
2.3.2.4,Toutes les solutions ont été concrétisées,,,,,,25,,,,,,,,,,,,
2.3.3,Suivre et accompagner les installations de traitement / Suivre les installations de traitement et leurs performances en termes de valorisation,"La collectivité suit toutes les installations de traitement sous sa responsabilité et s’assure de leur efficacité en matière de valorisation. Dans cette optique, elle accompagne les équipes en charge de ces installations.

La collectivité doit ainsi :

-   S’assurer que l’ensemble des flux du territoire puissent être traités, en priorisant le réemploi et le recyclage.
    
-   S’assurer que les contrôles sont effectués pour assurer l’optimisation du processus de traitement, ainsi que la qualité des flux entrants et sortants.
    
-   Alerter les producteurs de déchets et les acteurs qui interviennent en amont en cas de non-qualité des flux entrants, et s’assurer que les actions correctives soient effectuées si les autres contrôles révèlent des écarts.
    
-   Quantifier et caractériser les refus de tri (ou les mâchefers) dans le but de les réduire, notamment en rehaussant les exigences de qualité du flux entrant si nécessaire, et, éventuellement éviter la sur-qualité.
    
-   S’assurer que les refus de tri (ou les mâchefers) sont valorisés selon la hiérarchie de traitement.",,"Installation de traitement : centre de tri, de prétraitement, de recyclage, centre de compostage, méthaniseur, usine d'incinération , installation de stockage, etc.

Pour les Installations de Stockage de Déchets Non-Dangereux (ISDND), l’installation est gérée en bio réacteur avec captage et valorisation du biogaz.

Pour les installations de méthanisation, le digestat produit fait l’objet d’une valorisation locale garantissant le respect de la qualité des sols.

Pour les installations de valorisation énergétique, s'assurer des débouchés pour la chaleur et l'électricité produite.

Maintenir une veille pour identifier et intégrer les meilleures technologies disponibles (MTD) de valorisation des déchets :

-   en tenant compte de la qualité des flux entrants
    
-   en s’assurant que les flux et volumes sortants seront cohérents avec la disponibilité et la capacité des repreneurs
    
-   en tenant compte des études de prospection (évolution future des flux)",,,,effets,,,,,,,,,,,
2.3.3.1,Mesurer l'effet de l'accompagnement / Mettre en place le suivi de toutes les installations de traitement sous maîtrise d'ouvrage de la collectivité,,,,,,20,,,,,,,,,,,,
2.3.3.2,Valoriser au moins 50% des déchets,,,,,,20,,,,,,,,,,,,
2.3.3.3,Valoriser au moins 60% des déchets,,,,,,10,,,,,,,,,,,,
2.3.3.4,Valoriser au moins 70% des déchets,,,,,,25,,,,,,,,,,,,
2.3.3.5,Valoriser au moins 80% des déchets,,,,,,15,,,,,,,,,,,,
2.3.3.6,Valoriser au moins 90% des déchets,,,,,,10,,,,,,,,,,,,
2.4,Réduire les impacts environnementaux et sociaux de la gestion des déchets,"La gestion des déchets génère des impacts environnementaux (liés notamment au transport...) et sociaux (pénibilité du travail, nuisances olfactives et sonores, ...) ; la réduction de ces impacts s’appuie respectivement sur l’optimisation des systèmes de transport ainsi que sur les diverses recommandations et guides des CARSAT (Caisses d’Assurance Retraite et de la Santé Au Travail).","**Contexte**

[Prévention des risques](http://www.officiel-prevention.com/environnement-pollution/gestion-des-dechets-stockage-enlevement-traitement/detail_dossier_CHSCT.php) [Sécurité et collecte](https://expertises.ademe.fr/professionnels/collectivites/integrer-lenvironnement-domaines-dintervention/dechets/optimiser-collecte/securite-collecte) [Transport et logistique des déchets](https://expertises.ademe.fr/economie-circulaire/dechets/quoi-parle-t/prevention-gestion-dechets/transport-logistique-dechets) [Impacts sanitaires et environnementaux](https://www.optigede.ademe.fr/impacts-sanitaires-et-economie-circulaire)

**Conformité réglementaire**

[Recommandation R437 de la CNAMTS](https://www.ameli.fr/sites/default/files/Documents/9945/document/r437.pdf)","**Santé**

[Accompagnement des collectivités à l'utilisation de produits ménagers respectueux de la santé et de l'environnement (Programme Boreal)](https://optigede.ademe.fr/fiche/accompagnement-des-collectivites-l-utilisation-de-produits-menagers-respectueux-de-la-sante-et) [Utilisation des produits d’entretien naturels dans les locaux administratifs (CA du Pays Voironnais)](https://www.optigede.ademe.fr/fiche/utilisation-des-produits-dentretien-naturels-dans-les-locaux-administratifs) [Prévention des déchets de peinture (SCHMITT)](https://optigede.ademe.fr/fiche/prevention-des-dechets-de-peinture-peinture-schmitt)

**Sécurité**

[Circuit d’analyse des accidents dans le cadre de la prévention des risques professionnels (SICOVAD)](https://www.optigede.ademe.fr/fiche/circuit-danalyse-des-accidents-dans-le-cadre-de-la-prevention-des-risques-professionnels)

**Transport**

[Optimisation des tournées de collecte d’OMR et de déchets recyclables (Communauté d’agglomération du Muretain)](https://www.optigede.ademe.fr/fiche/optimisation-des-tournees-de-collecte-dordures-menageres-residuelles-omr-et-de-dechets) [Optimisation des véhicules: quels gains environnementaux ?](https://www.actu-environnement.com/ae/dossiers/collecte-dechets/optimisation-vehicules-bennes-bicompartimentees-tri-mecanique-hybrides.php) [Réduction des impacts envionnementaux des véhicules de collecte et formation à l'éco-conduite de 100% des chauffeurs (CA Sophia Antipolis)](https://www.actu-environnement.com/ae/dossiers/collecte-dechets/optimisation-vehicules-bennes-bicompartimentees-tri-mecanique-hybrides.php)

**Dépôt sauvage**

[Luttons contre les dépôts sauvages (département de l’Essonne)](https://www.optigede.ademe.fr/fiche/ensemble-luttons-contre-les-depots-sauvages)","**Santé et sécurité**

[Conception des déchèteries : intégration de la santé et de la sécurité au travail](http://www.inrs.fr/media.html?refINRS=ED%206143) (brochure)

**Impacts sanitaires**

[Bilan des connaissances et analyses des impacts sanitaires et environnementaux du compostage domestique (étude)](https://www.optigede.ademe.fr/sites/default/files/Impacts_sanitaires_et_environnementaux_du_CD.pdf) (pdf) [Santé perçue: évaluation des impacts de la gestion des déchets (étude)](https://librairie.ademe.fr/dechets-economie-circulaire/2341-sante-percue-evaluation-des-impacts-de-la-gestion-des-dechets.html) [Information sur les risques de cancer en lien avec des expositions environnementales](http://www.cancer-environnement.fr/fiches/cancers/cancers-professionnels/)

**Sécurité**

[Règles de sécurité des installations de méthanisation agricoles](https://www.ineris.fr/sites/ineris.fr/files/contribution/Documents/guide-methanisation-def-1.pdf) [Étude sur la sécurité et le contrôle d’accès en déchèteries](https://aquitaine-ademe.typepad.fr/files/annexe-9.pdf)

**Transport des déchets**

[Collecte et le transport des produits usagés et des déchets dans une optique de logistique inverse. État des connaissances et propositions méthodologiques](https://librairie.ademe.fr/dechets-economie-circulaire/3115-collecte-et-le-transport-des-produits-usages-et-des-dechets-dans-une-optique-de-logistique-inverse-la-etat-des-connaissances-et-propositions-methodologiques.html)

**Déchets sauvages**

[Caractérisation de la problématique des déchets sauvages](https://librairie.ademe.fr/dechets-economie-circulaire/2278-caracterisation-de-la-problematique-des-dechets-sauvages.html#/44-type_de_produit-format_electronique) (pdf)

**Aspects environnementaux**

[Bilan GES](https://bilans-ges.ademe.fr/) [Modélisation et évaluation des impacts environnementaux de produits de consommation et biens d'équipement](https://librairie.ademe.fr/consommer-autrement/1189-modelisation-et-evaluation-des-impacts-environnementaux-de-produits-de-consommation-et-biens-d-equipement.html) [Quantification de l'impact environnemental d'une action de réparation, réemploi réutilisation](https://librairie.ademe.fr/consommer-autrement/1340-quantification-de-l-impact-environnemental-d-une-action-de-reparation-reemploi-reutilisation.html) [Méthode de quantification de l'impact GES d'une action de réduction des émissions](https://librairie.ademe.fr/changement-climatique-et-energie/4549-quantifier-l-impact-ges-d-une-action-de-reduction-des-emissions.html#/44-type_de_produit-format_electronique) [ACV impacts filière compostage méthanisation](https://librairie.ademe.fr/dechets-economie-circulaire/4892-acv-impacts-filiere-compostage-methanisation.html) [Estimer les impacts environnementaux et économiques des actions](https://librairie.ademe.fr/dechets-economie-circulaire/6096-guide-pour-l-elaboration-et-la-conduite-des-programmes-locaux-de-prevention-des-dechets-menagers-et-assimiles-plpdma.html)",20,,,,,"reponse(dechets_1, NON) et reponse(dechets_2, NON)
","Pour les collectivités n'ayant ni la compétence ""collecte des déchets"", ni la compétence ""traitement des déchets"", le score de l'action 2.4. est réduit à 0 et les statuts sont ""non concerné"".

Pour les collectivités n'ayant pas la compétence ""collecte des déchets"", les scores des sous-actions 2.4.2 et 2.4.3 sont réduits à 0 et les statuts de ces 2 sous-actions sont ""non concerné"".

Pour les collectivités n'ayant pas la compétence ""traitement des déchets"", le score de la sous-action 2.4.4 est réduit à 0 et le statut de cette sous-action est ""non concerné"".",,,,,"dechets_1, dechets_2","eci_9, eci_10, eci_11",
2.4.0,Respecter la règlementation,"La collectivité applique ou fait appliquer, dans tous les sites de collecte, de stockage ou de traitement des déchets, la réglementation contrôlée par la DREAL pour les émissions polluantes et les nuisances (olfactives, sonores....).

Elle veille également au respect de la réglementation relaitve aux conditions de travail.

En cas de non-conformité, la collectivité doit justifier d'un plan d'actions correctives et de l'absence de contentieux en cours",,"Exemples de règles à respecter suivant les modes de traitement :

Collecte :

-   Mise en application de la recommandation R437 de la CNAMTS relative à la sécurité lors de la collecte

Déchèteries :

-   Mise en place de solutions de garde-corps au droit des bennes pour les déchèteries avec quais
    
-   Mise en place de locaux ou compartiments abrités des intempéries, fixes ou modulaires, pour le stockage des DDS (Déchets Diffus Spécifiques) et des objets faisant l'objet d'une collecte ""préservente""
    
-   Mise en place de dispositifs de sécurité incendie selon le classement ICPE des sites
    
-   Mise en place de dispositifs de sécurité pour lutter contre le vandalisme
    

Plateformes de compostage centralisé :

-   Les meilleures pratiques sont réalisées et formalisées (courbes de suivi des températures et de l'humidité, aération...)
    
-   Les jus sont récupérés et traités.
    
-   Les refus sont valorisés de manière appropriée (UTOM ou ISDND si pas d'UTOM)
    
-   La plateforme de compostage dispose d'une certification (ex: label ASQA) ou produit un compost conforme à la norme NFU",,,0,bases,,,,,,,,,,,
2.4.1,Identifier les pistes de réduction des impacts,La collectivité étudie et priorise des pistes de réduction des émissions et nuisances.,,"Mener des études en interne ou par un prestataire :

-   Recensement des dépôts sauvages : identifier les lieux, les tonnages, les contrevenants.
    
-   Etude des émissions des polluants émergents sur les principaux sites de traitement
    
-   Si la configuration territoriale le permet, la collectivité étudie les possibilités de réduction de la quantité de déchets transportés par route : augmentation de la part de déchets transportés par la voie d'eau et/ou la voie ferrée.
    

Analyser les constats.

Identifier les pistes de réduction des émissions et nuisances (optimisation des transports de déchets, optimisation des circuits de collecte et/ ou report modal, émissions des sites de traitement, dépôts sauvages de déchets, gestion des effluents, ...)

Sélectionner les actions à mener",,,20,bases,,,,,,,,,,,
2.4.1.1,Programmer une étude pour identifier les pistes de réduction des impacts,,,,,,20,,,,,,,,,,,,
2.4.1.2,Réaliser l'étude et identifier les pistes de réduction des impacts,,,,,,30,,,,,,,,,,,,
2.4.1.3,S'approprier et prioriser les actions d'optimisation,,,,,,50,,,,,,,,,,,,
2.4.2,Gérer les impacts de la collecte des déchets,"La collectivité a identifié les impacts de la collecte des déchets, a défini un plan d'actions pour les diminuer et le met en œuvre.

Ce plan d'actions devrait être en cohérence avec les mesures de prévention des déchets et d'amélioration des systèmes de collecte et de valorisation de déchets. Il donne des objectifs pertinents pour le territoire, ainsi que les outils de pilotage de la progression.

Ce plan d'actions peut être itératif. Une fois terminé sur la période donnée, la collectivité peut construire un nouveau plan avec de nouveaux objectifs.

Pour les collectivités portant la compétence collecte et traitement, les niveaux 2.4.2 et 2.4.4 peuvent faire l'objet d’un plan d’actions unique.",,"Exemples de pistes :

-   Mise en place d'actions pour limiter les dépôts sauvages et le brûlage à l'air libre des déchets verts :

https://librairie.ademe.fr/air-et-bruit/253-stop-au-brulage-valorisation-de-proximite-des-dechets-verts.html?search\_query=brulage+des+dechets+verts&results=708

https://librairie.ademe.fr/air-et-bruit/252-prevention-du-brulage-de-dechets-verts-en-zone-pavillonnaire.html?search\_query=brulage+des+dechets+verts&results=708

-   Si pertinent, mise en place des points volontaires de collecte - Rapport sur l'impact des points d'apport volontaire de déchets (https://librairie.ademe.fr/dechets-economie-circulaire/3879-impacts-sanitaires-et-environnementaux-des-points-d-apport-volontaire-des-biodechets.html?search\_query=Impacts+sanitaires+et+environnementaux+des+points+d%27apport+volontaire+des+biodechets&results=945)
    
-   Report modal de la collecte : évolution des équipements de transport de déchets vers des véhicules Gaz Naturel pour Véhicules (GNV) ou biogaz, par voie fluviale, par voie ferroviaire, par véhicules électriques, mobilité douce ou active, etc.
    
-   Améliorer la prévention des risques sanitaires (suivi du taux de Troubles Musculo-Squelettiques (TMS) chez les ripeurs et les techniciens des sites de traitement des déchets, formation des salariés, équipements adaptés, suivi médical professionnel, etc.) - voir les ressources de référence de l'INRS et de CARSAT.
    
-   Améliorer sa maitrise des risques sanitaires - https://www.optigede.ademe.fr/impacts-sanitaires-et-economie-circulaire",,,20,mise en œuvre,,,"reponse(dechets_1, NON) 
",,,,,,dechets_1,,
2.4.2.1,Mettre en place le plan d'actions,,,,,,15,,,,,,,,,,,,
2.4.2.2,Chiffrer les objectifs du plan d'actions,,,,,,15,,,,,,,,,,,,
2.4.2.3,Démarrer la mise en œuvre des actions,,,,,,40,,,,,,,,,,,,
2.4.2.4,Mettre en place le pilotage de la progression des actions,,,,,,30,,,,,,,,,,,,
2.4.3,Mettre en place le report modal de la collecte des déchets,La collectivité met en place un report modal de transport des déchets via un système de collecte autre que le système routier à moteur thermique à énergie fossile.,,"Evolution des équipements de transport de déchets vers des véhicules biogaz, par voie fluviale, par voie ferroviaire, par véhicules électriques, mobilité douce ou active, …

Dans les contextes adaptés, privilégier d'abord les collectes cyclables et ensuite la collecte motorisée à faibles émissions.

Collecter les déchets en mobilité alternative (collectes à vélo, à cheval, etc.).

Mettre en place des moyens d’évitement de collectes motorisées d’OMR ou de biodéchets grâce au compostage individuel ou partagé.

Réduire le transport de déchets par des véhicules thermiques à énergie fossile par rapport à l'année N-1.",,,10,mise en œuvre,,,"reponse(dechets_1, NON) 
",                                               ˚,,,,,dechets_1,,
2.4.4,Gérer les impacts du traitement des déchets,"La collectivité identifie les impacts du traitement. Elle définit un plan d'actions pour les diminuer et le met en œuvre.

Ce plan d'actions devrait être en cohérence avec les mesures de prévention et d'amélioration des systèmes de collecte et de valorisation des déchets. Il donne des objectifs pertinents pour le territoire, ainsi que les outils de pilotage de la progression.

Ce plan d'actions peut être itératif. Une fois terminé sur la période donnée, la collectivité peut construire un nouveau plan avec de nouveaux objectifs.

Pour les collectivités portant la compétence collecte et traitement, les niveaux 2.4.2 et 2.4.4 peuvent faire l'objet d’un plan d’action unique.",,"Exemples de pistes :

-   Optimisation des installations : émissions olfactives, sonores, GES, dioxines, métaux lourds, particules, etc.
    
-   Bio déchets:
    
-   Compostage individuel : information et formation sur le lombricompostage, etc.
    
-   Compostage collectif : information des usagers, formation des maitres composteurs, etc.
    
-   Méthanisation : acceptabilité des sites, bonne conduite de procédés afin d'éviter les fuites, gestion intégrée de l'épandage de digestat (gestion de l'apport azoté).
    
-   Améliorer la prévention des risques sanitaires (suivi du taux de Troubles Musculo-Squelettiques (TMS) chez les ripeurs et les techniciens des sites de traitement des déchets, formation des salariés, équipements adaptés, suivi médical professionnel, etc.)",,,30,mise en œuvre,,,"reponse(dechets_2, NON) 
",,,,,,dechets_2,,
2.4.4.1,Mettre en place le plan d'actions,,,,,,15,,,,,,,,,,,,
2.4.4.2,Chiffrer les objectifs du plan d'actions,,,,,,15,,,,,,,,,,,,
2.4.4.3,Démarrer la mise en œuvre des actions,,,,,,40,,,,,,,,,,,,
2.4.4.4,Mettre en place le pilotage de la progression des actions,,,,,,30,,,,,,,,,,,,
2.4.5,Communiquer sur les impacts,La collectivité communique sur ses données d'impacts environnementaux et sociaux,,"Exemples :

-   Publication systématique des résultats des contrôles et mesures, règlementaires ou non.
    
-   Mise en place d’un système de surveillance, d’un suivi d’indicateurs sur la qualité de l’environnement autour des installations de gestion des déchets.
    
-   Information claire et pédagogique, directement ou via les supports d’information de la collectivité.
    
-   Communication réalisée de manière régulière pour montrer l'impact réel des sites sur l'environnement. La communication est adéquate et spécifique à la cible visée (associations, citoyens, acteurs économiques, autres collectivités).
    
-   Communication à destination des usagers pour la prévention des comportements à impact négatif, par exemple :
    
-   sur les risques de brûlage à l'air libre de déchets verts et les alternatives
    
-   sur les dépôts sauvages
    

En cas de mise en place d'une commission locale d'information et de surveillance, la collectivité fait une communication ciblée.",,,20,effets,,,,,,,,,,,
2.4.5.1,Planifier les actions de communication,,,,,,25,,,,,,,,,,,,
2.4.5.2,Réaliser une communication,,,,,,25,,,,,,,,,,,,
2.4.5.3,"Réaliser une concertation (réunions d'information, échanges avec les parties prenantes, etc.)",,,,,,25,,,,,,,,,,,,
2.4.5.4,Communiquer pour prévenir les comportements indésirables,,,,,,25,,,,,,,,,,,,
